Date,Day,Holiday,States
01 Jan,Sun,New Year's Day,"National except Johor, Kedah, Kelantan, Perlis & Terengganu"
02 Jan,Mon,New Year Holiday,"National except Johor, Kedah, Kelantan, Perlis & Terengganu"
14 Jan,Sat,YDPB Negeri Sembilan's Birthday,Negeri Sembilan
22 Jan,Sun,Chinese New Year,National
23 Jan,Mon,Chinese New Year Holiday,National
24 Jan,Tue,Chinese New Year Holiday,"National except Johor, Kedah, Kelantan & Terengganu"
01 Feb,Wed,Federal Territory Day,"Kuala Lumpur, Labuan & Putrajaya"
05 Feb,Sun,Thaipusam,"Johor, Kuala Lumpur, Negeri Sembilan, Penang, Perak, Putrajaya & Selangor"
18 Feb,Sat,Israk and Mikraj,"Kedah, Negeri Sembilan, Perlis & Terengganu"
19 Feb,Sun,Israk and Mikraj Holiday,Kedah & Terengganu
04 Mar,Sat,Installation of Sultan Terengganu,Terengganu
23 Mar,Thu,Awal Ramadan,"Johor, Kedah & Melaka"
23 Mar,Thu,Sultan of Johor's Birthday,Johor
07 Apr,Fri,Good Friday,Sabah & Sarawak
08 Apr,Sat,Nuzul Al-Quran,"National except Johor, Kedah, Melaka, Negeri Sembilan, Sabah & Sarawak"
09 Apr,Sun,Nuzul Al-Quran Holiday,Kelantan & Terengganu
15 Apr,Sat,Declaration of Melaka as a Historical City,Melaka
22 Apr,Sat,Hari Raya Aidilfitri,National
23 Apr,Sun,Hari Raya Aidilfitri Holiday,National
24 Apr,Mon,Hari Raya Aidilfitri Holiday,National
26 Apr,Wed,Sultan of Terengganu's Birthday,Terengganu
01 May,Mon,Labour Day,National
04 May,Thu,Wesak Day,National
17 May,Wed,Raja Perlis' Birthday,Perlis
22 May,Mon,Hari Hol Pahang,Pahang
30 May,Tue,Harvest Festival,Labuan & Sabah
31 May,Wed,Harvest Festival Holiday,Labuan & Sabah
01 Jun,Thu,Hari Gawai,Sarawak
02 Jun,Fri,Hari Gawai Holiday,Sarawak
05 Jun,Mon,Agong's Birthday,National
18 Jun,Sun,Sultan of Kedah's Birthday,Kedah
28 Jun,Wed,Arafat Day,Terengganu
29 Jun,Thu,Hari Raya Haji,National
30 Jun,Fri,Hari Raya Haji Holiday,"Kedah, Kelantan, Perlis & Terengganu"
07 Jul,Fri,Georgetown World Heritage City Day,Penang
08 Jul,Sat,Penang Governor's Birthday,Penang
19 Jul,Wed,Awal Muharram,National
22 Jul,Sat,Sarawak Day,Sarawak
30 Jul,Sun,Sultan of Pahang's Birthday,Pahang
23 Aug,Wed,Hari Hol Almarhum Sultan Iskandar,Johor
24 Aug,Thu,Melaka Governor's Birthday,Melaka
31 Aug,Thu,Merdeka Day,National
16 Sep,Sat,Malaysia Day,National
17 Sep,Sun,Malaysia Day Holiday,Kelantan & Terengganu
28 Sep,Thu,Prophet Muhammad's Birthday,National
07 Oct,Sat,Sabah Governor's Birthday,Sabah
14 Oct,Sat,Sarawak Governor's Birthday,Sarawak
03 Nov,Fri,Sultan of Perak's Birthday,Perak
11 Nov,Sat,Sultan of Kelantan's Birthday,Kelantan
12 Nov,Sun,Deepavali,National except Sarawak
12 Nov,Sun,Sultan of Kelantan's Birthday Holiday,Kelantan
13 Nov,Mon,Deepavali Holiday,"National except Johor, Kedah, Kelantan, Sarawak & Terengganu"
11 Dec,Mon,Sultan of Selangor's Birthday,Selangor
24 Dec,Sun,Christmas Eve,Sabah
25 Dec,Mon,Christmas Day,National
